
 260; 60; z14;
20; 90; w3;
 20; 60; z13;
290; 30; w1;
 180; 90; z13;
20; 90; w5;
 220; 30; z15;
100; 60; w9;
 370; 60; z7;
20; 90; w9;
 20; 60; z7;
290; 30; w10;
 330; 30; z6;
260; 90; w2;
 100; 30; z9;
60; 30; w8;
 290; 90; z13;
20; 90; w6;
 370; 60; z15;
100; 360; w4;
 180; 90; z11;
220; 60; w4;
 370; 60; z12;
290; 360; w2;
 20; 400; z12;
60; 360; w5;
 180; 330; z14;
260; 330; w8;
 290; 30; z15;
20; 30; w8;
 60; 30; z14;
290; 360; w5;
 20; 400; z14;
60; 360; w2;
 60; 330; z8;
220; 400; w7;
 370; 300; z13;
140; 30; w4;
 180; 30; z8;
180; 360; w8;
 330; 360; z16;
180; 360; w13;
 290; 330; z3;
370; 330; w13;
 100; 360; z5;
60; 360; w4;
